vowel,stress,word,F1,F2,F3,obs_ID
AY,1,I,680.5,1782.6,2882.9,297
IY,1,SEE,413.6,2143.2,2698.3,298
AH,0,IT,423.2,2036.3,2654.9,299
AW,1,OUTSIDE,592.5,1428.2,2471.9,300
AY,1,OUTSIDE,671.3,1643.6,2416.2,301
AY,1,MY,588,1627.8,3641.6,302
OW,0,WINDOW,571.8,1618.2,2495.2,303
AH,1,UM,562,1223.2,2045.5,304
AE,1,AND,574.5,1950.6,4058.3,305
EH,1,THEN,543.2,1695.4,2255.9,306
EH,1,THERE'S,514.4,1836.3,2623.5,307
OW,1,NO,538.4,1531.7,2387,308
EH,1,SENSE,566.7,1549.9,2552.3,309
AO,1,CALLING,572.9,1009.8,1910.7,310
AH,1,THE,606.9,1294.9,2388.3,311
AA,1,COPS,735,1265.7,2164.3,312
AH,0,CAUSE,457.9,1696.9,3954.1,313
AY,1,BY,646.5,1611.7,2493.3,314
AH,0,THE,484,1559.1,2561.6,315
AY,1,TIME,656.6,1763.8,3035.6,316
EY,1,THEY,525.1,1818,2395.2,317
IH,1,GET,445.7,2087.2,2653.2,318
EH,1,THERE,519.5,1757.1,2351.1,319
AY,1,LIKE,566.6,1555.6,2584.5,320
AH,0,IT'S,371.3,1632.5,2637.7,321
AY,1,BY,673.5,1616.5,2543.6,322
EH,1,THEN,551.6,1520.8,3090.8,323
AH,1,BUT,637.5,1333.2,2234.5,324
AE,1,YEAH,671,1793.1,2441.1,325
AY,1,I,743.2,1602.3,2483.2,326
IY,1,MEAN,449.5,2440.8,3054.5,327
IH,1,IT'S,366.6,1980.3,2395.6,328
AH,0,JUST,420.7,1751.9,3138,329
IY,0,REALLY,493.6,1817.9,2629,330
IH,1,INTERESTING,530.6,2007,2640,331
ER,0,INTERESTING,439.4,1828.1,2592.3,332
AH,0,INTERESTING,558.1,1828.6,2613.8,333
IH,1,IT'S,497,1744.8,2499.7,334
AH,0,IT'S,493.7,1876.9,2564.6,335
